row_id,date,time,events,platforms,format,state,published_ids,caption,hashtags,caption_x,link_fb,link_ig,utm_campaign,utm_content,asset_files,manual_reason,notes
TL-01,2026-08-19,17:00,TL,"ig,fb","Carousel, 3 slides",skipped,,"One week out.

Wednesday, August 26. Tellus360, 24 E King St. Doors 6:30. Thirty people, and that's the cap.

Link in bio.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"One week out. Wednesday, August 26. Tellus360, 24 E King St. Doors 6:30. Thirty people, and that's the cap. Link in bio.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-01,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-01,TL_202608,TL-01,"TL-01_1of3.jpg,TL-01_2of3.jpg,TL-01_3of3.jpg",,"Plan dates it Tue Aug 19; today IS Aug 19 so this ships same-day or not at all. Schedule immediately or fold into TL-2.  |  DARK 8/19 (~6:15pm ET): user decided to skip TL-1 entirely, no replacement post. Its 5pm slot had already passed by review time."
MC-LAUNCH,2026-08-19,23:00,MC,"ig,fb","Carousel, 5 slides",skipped,,"Round five is Marion Court.

September 8. Marion Court Room, Lancaster. 6:30 to 8:30.

Not speed dating. Not an app. A room of people who actually decided to show up. Drinks, then an icebreaker, then conversations - in that order.

Early bird is $18.99 through August 24, then it's $24.99. Link in bio.",#LancasterDating #LancasterEvents #EarlyBird #SparkDate,"Round five is Marion Court. September 8. Marion Court Room, Lancaster. 6:30 to 8:30. Not speed dating. Not an app. A room of people who actually decided to show up. Drinks, then an icebreaker, then conversations - in that order.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-LAUNCH,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-LAUNCH,MC_202608,MC-LAUNCH,"MC-LAUNCH_1of5.jpg,MC-LAUNCH_2of5.jpg,MC-LAUNCH_3of5.jpg,MC-LAUNCH_4of5.jpg,MC-LAUNCH_5of5.jpg",,"NEW POST - added same-day at your request, posting tonight 11pm. Caption is my draft, built from the same template used for the Tellus/GGT Aug 4 launch posts (venue/date/price swapped in from your slide images). Please confirm wording before it goes up - I do not have your original caption text for this one, only the 5 image slides.  |  DARK 8/19: user decided to skip MC-LAUNCH tonight entirely. Draft caption (built from the 5 image slides, not original wording) was never approved."
GG-01,2026-08-20,12:30,GG,"ig,fb",Carousel / stat card,posted,"{""legacy"":""posted-before-pipeline""}","22 people came to our first one.

Two months later, multiple matches are still talking. We didn't stage any of it and we didn't pay anyone to say anything.

Monday, August 31. Good Good Things, 11 S 21st, Rittenhouse. 6:30 to 8:30.

Link in bio.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #IRLDating #MeetInPerson #PhillySingles #SpeedDating,"22 people came to our first one. Two months later, multiple matches are still talking. We didn't stage any of it and we didn't pay anyone to say anything. Monday, August 31. Good Good Things, 11 S 21st, Rittenhouse. 6:30 to 8:30. Link in bio.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-01,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-01,GG_202608,GG-01,"GG-01_1of5.jpg,GG-01_2of5.jpg,GG-01_3of5.jpg,GG-01_4of5.jpg,GG-01_5of5.jpg",,"v3 Aug 20 'Job A - proof'. v3 gives concept only; caption written from Full Campaign Aug 8 proof post. REVIEW BEFORE POSTING.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
TL-02,2026-08-21,17:00,TL,"ig,fb",Reel,posted,"{""legacy"":""posted-before-pipeline""}","This is the room.

August 26, Tellus360, 24 E King St. 6:30. $24.99.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"This is the room. August 26, Tellus360, 24 E King St. 6:30. $24.99.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-02,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-02,TL_202608,TL-02,TL-02.jpg,,"Plan says Thu Aug 21. Caption states $24.99 but the campaign FACTS block says regular = $18.99 - resolve before posting (Blockers #14).  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
TL-03,2026-08-22,16:00,TL,"ig,fb","Carousel, 4 slides",posted,"{""legacy"":""posted-before-pipeline""}","You don't have to walk in alone. Most people don't.

Bring a friend, split the nerves, meet twice as many people. August 26, Tellus360, Lancaster.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"You don't have to walk in alone. Most people don't. Bring a friend, split the nerves, meet twice as many people. August 26, Tellus360, Lancaster.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-03,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-03,TL_202608,TL-03,"TL-03_1of4.jpg,TL-03_2of4.jpg,TL-03_3of4.jpg,TL-03_4of4.jpg",,"Design-only slides.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
GG-08,2026-08-22,17:00,GG,"ig,fb",Reel,posted,"{""legacy"":""posted-before-pipeline""}","This is the room.

August 31, Good Good Things, Rittenhouse. 6:30. $29.99.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #PhillyNightlife #IRLDating #DatingAppFatigue #MeetInPerson #PhillySingles #SpeedDating,"This is the room. August 31, Good Good Things, Rittenhouse. 6:30. $29.99.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-08,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-08,GG_202608,GG-08,"GG-08_1of2.jpg,GG-08_2of2.jpg",,"In the design plan (dated Fri Aug 22) but absent from the v3 must-ship spine. Caption states $29.99 - matches GGT FACTS.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
TL-04,2026-08-23,16:00,TL,"ig,fb","Carousel, 4 slides",posted,"{""legacy"":""posted-before-pipeline""}","Three days.

This is the room you'd be walking into on Wednesday. August 26, Tellus360, 24 E King St, 6:30.

Link in bio.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"Three days. This is the room you'd be walking into on Wednesday. August 26, Tellus360, 24 E King St, 6:30. Link in bio.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-04,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-04,TL_202608,TL-04,"TL-04_1of4.jpg,TL-04_2of4.jpg,TL-04_3of4.jpg,TL-04_4of4.jpg",,"Plan says Sat Aug 23. Never caption these as shot at Tellus360 - all consented frames are from the Philadelphia events.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
MC-01,2026-08-23,17:00,MC,"ig,fb","Carousel, 3 slides",posted,"{""legacy"":""posted-before-pipeline""}","Early bird for September 8 ends tomorrow night.

$18.99 today. $24.99 from Tuesday. Same room, same night - just a worse price.

Marion Court Room, Lancaster. Link in bio.",#LancasterDating #LancasterEvents #EarlyBird #SparkDate,"Early bird for September 8 ends tomorrow night. $18.99 today. $24.99 from Tuesday. Same room, same night - just a worse price. Marion Court Room, Lancaster. Link in bio.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-01,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-01,MC_202608,MC-01,"MC-01_1of2.jpg,MC-01_2of2_story.jpg",,"Design-only.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
MC-02,2026-08-24,09:00,MC,"ig,fb",Single image,posted,"{""legacy"":""posted-before-pipeline""}","Last day at $18.99 for September 8. Tomorrow it's $24.99.

Marion Court Room, Lancaster, 6:30pm. Link in bio.",#LancasterDating #LancasterEvents #SingleInLancaster #EarlyBird #SparkDate #SpeedDating #IRLDating #DatingAppFatigue,"Last day at $18.99 for September 8. Tomorrow it's $24.99. Marion Court Room, Lancaster, 6:30pm. Link in bio.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-02,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-02,MC_202608,MC-02,"MC-02_1of3.jpg,MC-02_2of3.jpg,MC-02_3of3.jpg",,"PIN TO PROFILE. Highest-conversion post of the Marion Court cycle.  |  POSTED 8/19: user confirmed to pick up building from the Aug 24 AM post onward, treating everything through MC-2 as already handled in Meta's existing queue (an older queue was found live, predating this corrected sheet, plus TL-4/MC-1/MC-2 visually confirmed scheduled at their exact worksheet times). Not rebuilt this session -- worth a wording/asset spot-check against this sheet if that hasn't happened."
GG-02,2026-08-24,16:00,GG,"ig,fb","Carousel, 3 slides",posted,"{""legacy"":""posted-before-pipeline""}","One week out.

Monday, August 31. Good Good Things, 11 S 21st. Doors 6:30. Thirty people, and that's the cap.

Link in bio.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #IRLDating #MeetInPerson #PhillySingles #SpeedDating,"One week out. Monday, August 31. Good Good Things, 11 S 21st. Doors 6:30. Thirty people, and that's the cap. Link in bio.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-02,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-02,GG_202608,GG-02,"GG-02_1of3.jpg,GG-02_2of3.jpg,GG-02_3of3.jpg",,"COLLISION: Marion Court deadline-day posts also run Aug 24 (9AM feed + 7PM story). Two feed posts one day. Move this to Aug 25 or accept. Caption verbatim from Full Campaign Aug 24.  ** DECIDED Aug 19 - PULLED: the design build slots a pulled frame here (IMG_9203/9204). Substitute from IMG_8859/8861/8862/8865/9001/9004/9005. **  |  IN PROGRESS 8/19: caption + hashtags + Facebook schedule (Aug 24, 4:00pm) already built as a draft in Meta Business Suite (Drafts panel, title starts ""One week out...""). Instagram will not appear as a placement or hold a schedule until a photo/video is attached -- Meta drops IG entirely from a draft with no media. To finish: open that existing draft (do not start a new one), attach the confirmed-consent photos plus The Night.mov frames, then re-set the IG time to 4:00pm once it reappears.  |  POSTED 8/19: user confirmed this is published. (The caption/schedule draft built earlier in this session was no longer in Meta's Drafts list after a mid-session browser-tool disconnect, so this was most likely completed directly by the user rather than continued from that draft -- worth a quick glance next time it is convenient, just to confirm wording/hashtags match this sheet.)"
MC-03,2026-08-24,19:00,MC,ig_story,Story + link sticker + countdown,approved,,A few hours left at $18.99.,#LancasterDating #LancasterEvents #SingleInLancaster #EarlyBird #SparkDate #SpeedDating #IRLDating #DatingAppFatigue,A few hours left at $18.99.,,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-03,MC_202608,MC-03,"MC-03_1of2.jpg,MC-03_2of2.jpg",IG Story stickers (link/countdown) cannot be set via API,"Countdown sticker to midnight.  |  PLAN 8/19 (not yet built -- IG Stories need the image attached before anything else can be set, so this could not be pre-staged): attach MC_0824_story first, then add a link sticker to the Marion Court Sep 8 tracked link, then a countdown sticker targeting 12:00 AM Aug 25 (matches MC-2 early-bird cutoff -- worksheet just said ""midnight""). Overlay text: ""A few hours left at $18.99."""
